Name,Start time,End time,Type,Quality,SNR Z,SNR N,SNR E,SNR HF Z,SNR HF N,SNR HF E
S0443b,2020-02-25T02:57:04.405159Z,2020-02-25T03:09:28.577043Z,2.4_HZ,D,1.04852127316,1.05004217683,1.08188792472,1.75043268091,1.89285064739,1.77408003575
S0443a,2020-02-24T10:17:14.852834Z,2020-02-24T10:28:56.955842Z,2.4_HZ,D,0.934828495462,0.976958170382,0.940003922511,1.36426165111,1.45989300231,1.35822180129
S0440a,2020-02-22T02:44:03.669646Z,2020-02-22T03:03:47.417116Z,2.4_HZ,D,1.27011147123,1.21995726536,1.24865391527,1.69211778344,1.67324644794,1.81596957463
S0439a,2020-02-20T08:39:43.658188Z,2020-02-20T08:50:11.256103Z,2.4_HZ,C,1.28147944731,1.24430179026,1.2669252884,4.00839258813,3.14673977661,3.16702941279
S0436c,2020-02-18T02:04:51.213103Z,2020-02-18T02:20:59.974212Z,HIGH_FREQUENCY,B,1.19155658063,1.08781663645,1.14142383246,2.23166008367,2.47352090603,2.4932441358
S0436b,2020-02-18T00:29:45.625397Z,2020-02-18T00:42:18.771528Z,2.4_HZ,C,1.11120582756,1.16811493134,1.16343333807,1.45211914177,1.70345065675,1.44525964367
S0432a,2020-02-14T01:53:13.173606Z,2020-02-14T02:09:57.835288Z,HIGH_FREQUENCY,B,1.43690039426,1.46887966196,1.67717445571,2.94675268647,2.68469596162,2.75224065821
S0432b,2020-02-14T00:53:10.684517Z,2020-02-14T01:07:26.826437Z,2.4_HZ,D,1.31309127741,1.20893926819,1.32286376602,1.64016602526,1.79995687559,1.91313313217
S0431c,2020-02-13T00:30:05.978735Z,2020-02-13T00:46:14.728732Z,2.4_HZ,D,1.31662406005,1.3276726824,1.41824258251,1.90336044107,1.71744520907,1.69792181228
S0431b,2020-02-12T22:01:24.099025Z,2020-02-12T22:19:42.925272Z,HIGH_FREQUENCY,C,1.29639971712,1.25848648231,1.44460036695,2.58409565653,2.57744374796,2.5817483858
S0430d,2020-02-11T22:12:47.375009Z,2020-02-11T22:25:10.699150Z,2.4_HZ,D,1.23372632401,1.04169209889,1.17795969162,1.4717709984,1.29153612616,1.26535471974
S0430c,2020-02-11T20:46:13.513650Z,2020-02-11T21:06:02.020122Z,2.4_HZ,B,1.20963923767,1.20947940632,1.2939504851,2.68285462038,2.72407145604,2.19786133284
S0430b,2020-02-11T19:34:44.868714Z,2020-02-11T19:48:16.790185Z,2.4_HZ,D,1.23350640732,1.22975546118,1.1872025114,1.76742563208,1.45565595065,1.69757268611
S0430a,2020-02-11T02:36:32.890190Z,2020-02-11T02:52:10.149890Z,2.4_HZ,C,1.15568771241,1.08193249755,1.26077867165,2.07752205017,2.01833006287,1.81563530859
S0429b,2020-02-10T23:42:49.931627Z,2020-02-10T23:56:48.087701Z,2.4_HZ,C,1.12495605259,1.15775501544,1.15670024919,1.81397908395,1.79596752706,1.79497095999
S0429a,2020-02-10T20:41:32.620050Z,2020-02-10T20:55:33.926031Z,HIGH_FREQUENCY,B,1.08595517629,1.19813601065,1.17607789818,1.90116913903,1.80133746761,1.86848218392
S0428c,2020-02-09T20:28:40.363439Z,2020-02-09T20:43:31.874732Z,2.4_HZ,D,1.05924620088,1.1623477959,1.0581931102,1.4196103144,1.34993771968,1.49746640464
S0428b,2020-02-09T18:41:49.552900Z,2020-02-09T18:55:51.293871Z,2.4_HZ,D,1.205307751,1.08843906602,1.08714162222,1.57711708952,1.47789490976,1.45932909729
S0428a,2020-02-09T00:48:10.121561Z,2020-02-09T01:01:36.134986Z,HIGH_FREQUENCY,C,1.20711403031,1.14535259189,1.23652975131,2.61285780578,2.3013634478,2.26216265181
S0427a,2020-02-08T22:33:55.502948Z,2020-02-08T22:45:44.220546Z,2.4_HZ,D,1.2995004118,1.34723613631,1.18967339067,1.72210684967,1.70136837406,1.82621925983
S0424c,2020-02-05T17:30:01.186076Z,2020-02-05T17:47:05.855133Z,VERY_HIGH_FREQUENCY,B,2.41355451966,2.34853480493,2.54881407322,6.15761825896,6.24551088801,6.46368150553
S0424b,2020-02-05T15:23:28.224249Z,2020-02-05T15:35:41.324664Z,2.4_HZ,D,1.18826559472,1.45745497861,1.15710643963,1.48533839568,1.34507940111,1.37470058923
S0424a,2020-02-05T15:01:37.225827Z,2020-02-05T15:15:24.033120Z,2.4_HZ,D,1.12415815988,1.08005177542,1.06504414839,1.36692507782,1.28190728536,1.29728855805
